NEIGHBOURHOOD_158,REPORT_YEAR,REPORT_MONTH,TotalCrimeScore,Crime_Count,x,y,NSI,Prev_Month_NSI,NSI_3M_Avg
0,2014,4,42,11,-8824711.75704192,5435661.4790411955,0.9144050104384134,0.918580375782881,0.8858733472512178
0,2014,5,29,8,-8823638.49360419,5436439.3390391525,0.941544885177453,0.9144050104384134,0.9011830201809325
0,2014,6,63,17,-8824836.849445038,5435397.004782389,0.8705636743215032,0.941544885177453,0.9248434237995825
0,2014,7,52,13,-8824462.780956317,5435726.839057678,0.8935281837160751,0.8705636743215032,0.90883785664579
0,2014,8,62,16,-8824389.175017968,5435626.468662291,0.872651356993737,0.8935281837160751,0.9018789144050103
0,2014,9,57,15,-8824137.432634387,5436006.146260702,0.8830897703549061,0.872651356993737,0.8789144050104384
0,2014,10,46,15,-8824694.03167651,5435628.909405435,0.906054279749478,0.8830897703549061,0.8830897703549061
0,2014,11,61,16,-8824437.515444228,5435360.219353813,0.8747390396659708,0.906054279749478,0.8872651356993737
0,2014,12,42,11,-8824465.932457034,5435562.108570539,0.9144050104384134,0.8747390396659708,0.8879610299234516
0,2015,1,64,17,-8824380.990027312,5435816.468778677,0.8684759916492693,0.9144050104384134,0.8983994432846206
0,2015,2,39,11,-8823942.192175288,5435517.294649563,0.9206680584551148,0.8684759916492693,0.8858733472512178
0,2015,3,66,19,-8824921.798436154,5435691.138017712,0.8643006263048016,0.9206680584551148,0.9011830201809324
0,2015,4,53,18,-8824370.467717243,5435898.105665445,0.8914405010438413,0.8643006263048016,0.884481558803062
0,2015,5,49,16,-8824489.069580698,5435673.756054623,0.8997912317327766,0.8914405010438413,0.8921363952679192
0,2015,6,30,8,-8823641.65947485,5436018.423959377,0.9394572025052192,0.8997912317327766,0.8851774530271399
0,2015,7,66,20,-8824192.069490956,5435721.201503654,0.8643006263048016,0.9394572025052192,0.9102296450939457
0,2015,8,106,25,-8824630.060273208,5435724.612026462,0.7807933194154488,0.8643006263048016,0.9011830201809324
0,2015,9,71,22,-8824837.397183068,5435692.394242459,0.8538622129436326,0.7807933194154488,0.8615170494084898
0,2015,10,61,16,-8824536.579236554,5435819.489692839,0.8747390396659708,0.8538622129436326,0.8329853862212944
0,2015,11,55,14,-8824529.997304682,5435718.559771528,0.8872651356993737,0.8747390396659708,0.8364648573416841
0,2015,12,59,17,-8824705.093771517,5436132.439593966,0.8789144050104384,0.8872651356993737,0.871955462769659
0,2016,1,33,9,-8824816.369162334,5435651.12615457,0.9331941544885177,0.8789144050104384,0.8803061934585944
0,2016,2,55,15,-8824625.856614724,5435818.037628823,0.8872651356993737,0.9331941544885177,0.8997912317327765
0,2016,3,61,15,-8824503.140486786,5435988.511351721,0.8747390396659708,0.8872651356993737,0.8997912317327765
0,2016,4,65,19,-8824542.743301423,5435627.6919462755,0.8663883089770354,0.8747390396659708,0.8983994432846206
0,2016,5,50,15,-8824634.677808654,5435780.890851258,0.8977035490605428,0.8663883089770354,0.8761308281141266
0,2016,6,63,18,-8824331.142950634,5435788.718508105,0.8705636743215032,0.8977035490605428,0.8796102992345163
0,2016,7,42,12,-8824234.753042428,5435735.030926677,0.9144050104384134,0.8705636743215032,0.8782185107863606
0,2016,8,30,9,-8824551.300472345,5436028.999688134,0.9394572025052192,0.9144050104384134,0.894224077940153
0,2016,9,35,9,-8824607.444902804,5435825.5238268,0.9290187891440501,0.9394572025052192,0.9081419624217121
0,2016,10,77,23,-8824515.871463878,5435841.506621764,0.8413361169102296,0.9290187891440501,0.9276270006958942
0,2016,11,36,11,-8824389.54313002,5435575.187076277,0.9269311064718163,0.8413361169102296,0.9032707028531664
0,2016,12,44,14,-8824800.984487997,5435318.142677699,0.9102296450939458,0.9269311064718163,0.8990953375086986
0,2017,1,60,19,-8824222.419369174,5435447.759772958,0.8768267223382046,0.9102296450939458,0.8928322894919972
0,2017,2,67,19,-8824094.923006143,5435955.198306051,0.8622129436325678,0.8768267223382046,0.9046624913013223
